probe id,Control,0.25mg-6hr,0.25mg-24hr,0.25mg-48hr,0.50mg-6hr,0.50mg-24hr,0.50mg-48hr,,,,,,,,,,,,,,,,,,,
PH_hs_0000176,26.44444444,16.76190476,14.06349206,26.86507937,13.44444444,13.57142857,12.88888889,,,,,,,,,,,,,,,,,,,
PH_hs_0000177,14.76190476,10.73015873,11.57142857,19.20634921,14.73015873,20.65079365,28.41269841,,,,,,,,,,,,,,,,,,,
PH_hs_0000178,68.04761905,45.49206349,33.65079365,13.48412698,35.37301587,27.06349206,90.61904762,,,,,,,,,,,,,,,,,,,
PH_hs_0000179,177.2698413,150.3809524,138.7460317,212.5396825,130.5555556,87.19047619,166.7777778,,,,,,,,,,,,,,,,,,,
PH_hs_0000181,8.714285714,5.888888889,6.444444444,11.19047619,7.507936508,12.23809524,7.96031746,,,,,,,,,,,,,,,,,,,
PH_hs_0000182,11.61904762,8.158730159,9.238095238,12.88888889,11.03174603,11.93650794,19.03174603,,,,,,,,,,,,,,,,,,,
PH_hs_0000185,58.38095238,54.71428571,50.57142857,61.50793651,54.19047619,80.6984127,40.97619048,,,,,,,,,,,,,,,,,,,
PH_hs_0000186,24.82539683,23.11111111,23.85714286,30.34920635,17.34920635,17.6984127,22.46031746,,,,,,,,,,,,,,,,,,,
PH_hs_0000187,11.58730159,11.31746032,15.19047619,22.55555556,12.15873016,20.63492063,28.01587302,,,,,,,,,,,,,,,,,,,
PH_hs_0000188,34.22222222,32.28571429,31.65079365,47.32539683,43.66666667,24.08730159,48.84126984,,,,,,,,,,,,,,,,,,,
PH_hs_0000190,277.7698413,111.6587302,164.3650794,406.531746,177.1587302,188,589.7698413,,,,,,,,,,,,,,,,,,,
PH_hs_0000191,31.74603175,24.31746032,20.15873016,47.52380952,24.04761905,29.44444444,49.83333333,,,,,,,,,,,,,,,,,,,
PH_hs_0000192,4.206349206,3.936507937,4.317460317,1.714285714,4.904761905,3.317460317,4.333333333,,,,,,,,,,,,,,,,,,,
PH_hs_0000193,97.69047619,51.23809524,31.93650794,59.96825397,58.1031746,60.97619048,116.7539683,,,,,,,,,,,,,,,,,,,
PH_hs_0000195,1312.539683,1186.722222,1331.97619,1640.134921,1323.650794,857.952381,1760.603175,,,,,,,,,,,,,,,,,,,
PH_hs_0000196,7.444444444,7.619047619,7.682539683,11.71428571,6.079365079,464.9365079,11.6031746,,,,,,,,,,,,,,,,,,,
PH_hs_0000197,3.349206349,2.777777778,3.46031746,4.222222222,4.698412698,4.333333333,4.126984127,,,,,,,,,,,,,,,,,,,
PH_hs_0000198,703.3571429,818.6825397,686.0952381,446.015873,623.5079365,775.4126984,307.1904762,,,,,,,,,,,,,,,,,,,
PH_hs_0000199,174.4603175,107.6825397,175.0793651,216.1904762,237.1587302,212.2857143,517.8492063,,,,,,,,,,,,,,,,,,,
PH_hs_0000200,106.5793651,53.31746032,45.03174603,96.02380952,60.5952381,209.8333333,44.78571429,,,,,,,,,,,,,,,,,,,
PH_hs_0000201,11.80952381,19.42063492,20.19047619,16.42857143,20.01587302,20.31746032,11.36507937,,,,,,,,,,,,,,,,,,,
PH_hs_0000202,13.77777778,26.32539683,23.04761905,17.84126984,40.9047619,15.04761905,14.80952381,,,,,,,,,,,,,,,,,,,
PH_hs_0000203,72.23809524,65.52380952,88.03174603,109.3333333,105.0555556,133.1666667,129.7063492,,,,,,,,,,,,,,,,,,,
PH_hs_0000204,32.49206349,34.6984127,31.93650794,42.50793651,33.91269841,43.53968254,47.44444444,,,,,,,,,,,,,,,,,,,
PH_hs_0000205,83.95238095,216.9920635,170.4603175,112.8730159,206.1746032,152.1190476,96.36507937,,,,,,,,,,,,,,,,,,,
PH_hs_0000206,21.82539683,20.63492063,20.84126984,26.12698413,21.15873016,32.07936508,21.15873016,,,,,,,,,,,,,,,,,,,
PH_hs_0000207,26.77777778,34.46031746,39.34126984,39.85714286,62.66666667,413.7142857,22.36507937,,,,,,,,,,,,,,,,,,,
PH_hs_0000208,80.8015873,148.8253968,136.6984127,129.3412698,140.952381,98,90.96825397,,,,,,,,,,,,,,,,,,,
PH_hs_0000209,188.6825397,240.4444444,282.547619,286.3174603,328.452381,386.3333333,322.531746,,,,,,,,,,,,,,,,,,,
PH_hs_0000210,9.095238095,9.634920635,9.333333333,20.63492063,9.095238095,346.9126984,12.95238095,,,,,,,,,,,,,,,,,,,
PH_hs_0000211,264.3571429,335.031746,359.8888889,227.8095238,295.4444444,281.2857143,202.8174603,,,,,,,,,,,,,,,,,,,
PH_hs_0000212,78.46031746,74.76190476,79.88888889,96.20634921,89.61904762,63.96031746,109.7460317,,,,,,,,,,,,,,,,,,,
PH_hs_0000213,2950.055556,3039.142857,1980.769841,1447.722222,3889.984127,1460.912698,1217.714286,,,,,,,,,,,,,,,,,,,
PH_hs_0000214,8.793650794,5.444444444,6.19047619,10.03174603,5.650793651,157.3492063,6.523809524,,,,,,,,,,,,,,,,,,,
PH_hs_0000215,2437.412698,3311.214286,3636.253968,3639.603175,2499.777778,1619.730159,2670.269841,,,,,,,,,,,,,,,,,,,
PH_hs_0000216,4577.626984,4160.761905,2679.261905,2436.761905,4525.611111,1573.103175,1190.198413,,,,,,,,,,,,,,,,,,,
PH_hs_0000217,2798.873016,2700.571429,2390.563492,2880.984127,3047.603175,2346.428571,2993.666667,,,,,,,,,,,,,,,,,,,
PH_hs_0000218,230,196.3174603,174.3174603,176.3809524,187.0634921,897.5952381,157.2142857,,,,,,,,,,,,,,,,,,,
PH_hs_0000219,16.66666667,18.08730159,18.88888889,20.47619048,17.33333333,29.73015873,24.24603175,,,,,,,,,,,,,,,,,,,
